ibu,size,style,brewery_location,id,name,abv,brewery_name
20,16 oz.,Chile Beer,"Bucryus, MO",1791,Hot Date Ale,6.0%,Piney River Brewing Company
N/A,12 oz.,,"Longmont, CO",1790,CAN'D AID Foundation,???,Oskar Blues Brewery
N/A,16 oz.,American Blonde Ale,"Avon, IN",1789,Lost River Blonde Ale,4.9%,Cutters Brewing Company
N/A,16 oz.,Witbier,"Avon, IN",1788,Monon Wheat,5.4%,Cutters Brewing Company
N/A,16 oz.,Scottish Ale,"Avon, IN",1787,Floyd's Folly,8.0%,Cutters Brewing Company
N/A,16 oz.,American IPA,"Avon, IN",1786,Half Court IPA,6.3%,Cutters Brewing Company
N/A,16 oz.,American Wild Ale,"Grand Rapids, MI",1785,Le Flaneur Ale,7.3%,Brewery Vivant
N/A,16 oz.,American IPA,"Wilmington, DE",1784,Appreciation Ale,???,Iron Hill Brewery & Restaurant
N/A,16 oz.,American IPA,"Belfast, ME",1783,Toughcats IPA,7.2%,Marshall Wharf Brewing Company
N/A,12 oz.,American IPA,"Lansdale, PA",1782,Kiss Off IPA,6.3%,Round Guys Brewing
N/A,12 oz.,American Pale Ale (APA),"Cold Spring, MN",1781,Three Way Pale Ale,5.2%,Third Street Brewhouse
N/A,12 oz.,Cream Ale,"Cold Spring, MN",1780,Rise to the Top,4.1%,Third Street Brewhouse
N/A,12 oz.,American Brown Ale,"Cold Spring, MN",1779,Lost Trout Brown Ale,4.9%,Third Street Brewhouse
42,16 oz.,Hefeweizen,"Lewiston, ME",1778,On the Count of 3 (2015),7.0%,Baxter Brewing Company
74,16 oz.,American IPA,"Los Angeles, CA",1777,2020 IPA,7.4%,Golden Road Brewing
N/A,12 oz.,Extra Special / Strong Bitter (ESB),"Williamsburg, MA",1776,All Nighter Ale,4.5%,Banner Beer Company
30,16 oz.,Milk / Sweet Stout,"Providence, RI",1775,Autocrat Coffee Milk Stout,5.3%,Narragansett Brewing Company
20,12 oz.,Cream Ale,"Austin, TX",1774,Hijack,5.5%,Infamous Brewing Company
N/A,12 oz.,American Pale Ale (APA),"Centralia, WA",1773,12 Man Pale Ale,4.5%,Dick's Brewing Company
60,16 oz.,American IPA,"Claremont, CA",1772,Jacaranada Rye IPA,6.7%,Claremont Craft Ales
55,16 oz.,American IPA,"Lockland, OH",1771,Lil SIPA,5.0%,Rivertown Brewing Company
25,12 oz.,Tripel,"Meadville, PA",1770,Voodoo Love Child,9.2%,Voodoo Brewery
23,12 oz.,Witbier,"Meadville, PA",1769,White Magick of the Sun,7.9%,Voodoo Brewery
20,16 oz.,English Brown Ale,"Columbus, OH",1768,Stone Fort Brown Ale,5.3%,Seventh Son Brewing Company
40,16 oz.,American Amber / Red Ale,"Columbus, OH",1767,Seventh Son Hopped Red Ale,7.7%,Seventh Son Brewing Company
53,16 oz.,American Pale Ale (APA),"Columbus, OH",1766,Humulus Nimbus Super Pale Ale,6.0%,Seventh Son Brewing Company
68,16 oz.,American IPA,"Columbus, OH",1765,Golden Ratio IPA,7.0%,Seventh Son Brewing Company
N/A,12 oz.,American Amber / Red Ale,"Export, PA",1764,Rudolph's Red,8.1%,Rivertowne Brewing Company
N/A,12 oz.,English Pale Ale,"Portland, ME",1763,Geary's Pale Ale,4.5%,D.L. Geary Brewing Company
104,12 oz.,American Double / Imperial IPA,"Broomfield, CO",1762,Hemlock Double IPA,9.5%,Big Choice Brewing
51,12 oz.,American IPA,"Black Mountain, NC",1760,GreyBeard™ IPA,6.9%,Pisgah Brewing Company
31,12 oz.,American Pale Ale (APA),"Black Mountain, NC",1759,Pisgah Pale Ale,5.7%,Pisgah Brewing Company
N/A,12 oz.,American IPA,"Croydon, PA",1758,County Line IPA,6.6%,Neshaminy Creek Brewing Company
N/A,12 oz.,German Pilsener,"Croydon, PA",1757,Trauger Pilsner,4.8%,Neshaminy Creek Brewing Company
18,12 oz.,Munich Helles Lager,"Saint Louis, MO",1756,When Helles Freezes Over,5.6%,Morgan Street Brewery
60,12 oz.,American IPA,"Baton Rouge, LA",1755,Juke Joint IPA,7.0%,Tin Roof Brewing Company
35,12 oz.,American Porter,"Baton Rouge, LA",1754,Parade Ground Coffee Porter,7.0%,Tin Roof Brewing Company
N/A,16 oz.,American IPA,"Chicago, IL",1753,Heyoka IPA,7.0%,Half Acre Beer Company
N/A,16 oz.,American IPA,"Longmont, CO",1752,Icey.P.A.,???,Oskar Blues Brewery
